term_str,n,p,i,h,df,idf,dfidf,n_chars,ngram_length,porter_stem,max_pos,max_pos_group,n_pos,cat_pos,n_pos_group,cat_pos_group,stop,tfidf_mean,dp,di,dh,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
advise,296,7.078515080585068e-05,13.786193728614833,0.0009758578021186739,80,1.2630344058337937,101.04275246670349,6,1,advis,NN,NOUN,1,NN,1,NOUN,0,0.6326279480534968,0.4166666666666667,1.2630344058337937,0.5262643357640807,0,0,0,0,0,0,1,0,0,1,1
adviser,79,1.8891982816426363e-05,15.69186634606668,0.00029645046936755087,40,2.263034405833794,90.52137623335176,7,1,advis,NN,NOUN,2,NN|NNP,1,NOUN,0,1.132567107529784,0.20833333333333334,2.263034405833794,0.47146550121537373,0,0,0,0,0,0,1,0,0,1,1
advocacy,24,5.7393365518257305e-06,17.410684593522628,9.992577847991352e-05,15,3.678071905112638,55.17107857668957,8,1,advocaci,NN,NOUN,2,NN|NNP,1,NOUN,0,1.8404541440567792,0.078125,3.678071905112638,0.2873493675869248,1,1,0,0,1,0,1,0,0,1,1
affection,66,1.578317551752076e-05,15.95125297488533,0.0002517614254269903,29,2.726981505593584,79.08246366221394,9,1,affect,NN,NOUN,1,NN,1,NOUN,0,1.3646863567900882,0.15104166666666666,2.726981505593584,0.4118878315740309,0,0,0,0,1,0,1,0,0,1,1
affirm,227,5.42845582193517e-05,14.169098606952868,0.0007691632582448681,59,1.702319451359315,100.43684763019958,6,1,affirm,NN,NOUN,2,NN|NNP,1,NOUN,0,0.8524184515008102,0.3072916666666667,1.7023194513593147,0.5231085814072894,0,0,0,0,0,0,1,0,0,1,1
aftermath,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,9,1,aftermath,NN,NOUN,1,NN,1,NOUN,0,3.795015801913936,0.005208333333333333,7.584962500721156,0.03950501302458935,1,0,1,1,0,1,0,1,0,0,-1
aggravating,7,1.6739731609491714e-06,19.188292172186177,3.212068610069074e-05,6,5.0,30.0,11,1,aggrav,VB,VERB,1,VB,1,VERB,0,2.501752520155286,0.03125,5.0,0.15625,1,0,0,0,0,1,0,1,0,0,-1
aggravation,10,2.3913902299273877e-06,18.67371899935642,4.465614917147038e-05,10,4.2630344058337934,42.63034405833793,11,1,aggrav,NN,NOUN,1,NN,1,NOUN,0,2.133059382656288,0.052083333333333336,4.2630344058337934,0.22203304197051008,1,0,1,0,0,1,0,0,0,0,-1
aggression,142,3.395774126496891e-05,14.845899974739101,0.0005041332301877989,64,1.584962500721156,101.43760004615399,10,1,aggress,NN,NOUN,2,NN|NNP,1,NOUN,0,0.7935846528313744,0.3333333333333333,1.584962500721156,0.5283208335737186,1,0,0,1,0,1,0,0,0,0,-1
aggressive,3,7.174170689782163e-07,20.410684593522628,1.464297351692384e-05,3,6.0,18.0,10,1,aggress,NNP,NOUN,2,NN|NNP,1,NOUN,0,3.002093480754235,0.015625,6.0,0.09375,1,0,0,1,0,1,0,0,0,0,-1
agitation,7,1.6739731609491714e-06,19.188292172186177,3.212068610069074e-05,4,5.584962500721156,22.339850002884624,9,1,agit,NN,NOUN,1,NN,1,NOUN,0,2.7944292533777415,0.020833333333333332,5.584962500721156,0.11635338543169074,1,0,0,0,0,1,0,0,0,0,-1
agreed,237,5.667594844927909e-05,14.106903845345524,0.0007995221551177399,73,1.395137941841139,101.84506975440314,6,1,agre,VB,VERB,1,VB,1,VERB,0,0.6986577966145995,0.3802083333333333,1.3951379418411392,0.5304430716375165,0,0,0,0,0,0,1,0,0,1,1
agreeing,7,1.6739731609491714e-06,19.188292172186177,3.212068610069074e-05,4,5.584962500721156,22.339850002884624,8,1,agre,VB,VERB,1,VB,1,VERB,0,2.7944091960911455,0.020833333333333332,5.584962500721156,0.11635338543169074,0,0,0,0,0,0,1,0,0,1,1
agreement,863,0.00020637697684273358,12.242430345064827,0.0025265557638222227,157,0.2903417518295291,45.58365503723607,9,1,agreement,NN,NOUN,2,NN|NNP,1,NOUN,0,0.14586316896726373,0.8177083333333334,0.2903417518295291,0.23741486998560454,0,0,0,0,0,0,1,0,0,1,1
ail,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,3,1,ail,NN,NOUN,1,NN,1,NOUN,0,3.795018417413614,0.005208333333333333,7.584962500721156,0.03950501302458935,0,0,0,0,0,1,0,1,0,0,-1
alarm,8,1.91311218394191e-06,18.995647094243783,3.634080389785852e-05,5,5.2630344058337934,26.315172029168966,5,1,alarm,NN,NOUN,1,NN,1,NOUN,0,2.6333843272367763,0.026041666666666668,5.2630344058337934,0.1370581876519217,0,0,0,1,0,1,0,0,1,0,-1
alcoholism,4,9.56556091970955e-07,19.995647094243783,1.9126958040900216e-05,3,6.0,18.0,10,1,alcohol,NN,NOUN,2,NN|NNP,1,NOUN,0,3.00202782087806,0.015625,6.0,0.09375,1,0,1,1,0,1,0,1,0,0,-1
alien,59,1.4109202356571588e-05,16.11300404488194,0.00022734163464149579,30,2.678071905112638,80.34215715337913,5,1,alien,NN,NOUN,1,NN,1,NOUN,0,1.3402903818501786,0.15625,2.678071905112638,0.4184487351738497,0,0,1,1,0,1,0,0,0,0,-1
alienate,13,3.1088072989056042e-06,18.29520737610269,5.6876274225819694e-05,11,4.125530882083859,45.380839702922444,8,1,alien,NN,NOUN,1,NN,1,NOUN,0,2.0642681936042018,0.057291666666666664,4.125530882083859,0.23635854011938773,1,0,1,0,0,1,0,0,0,0,-1
alienated,27,6.456753620803947e-06,17.240759592080313,0.00011131933692157495,16,3.584962500721156,57.3594000115385,9,1,alien,VB,VERB,2,NNP|VB,2,NOUN|VERB,0,1.7938909378359675,0.08333333333333333,3.584962500721156,0.29874687506009634,0,0,0,0,0,1,0,1,0,0,-1
alienation,48,1.1478673103651461e-05,16.410684593522628,0.0001883728838561756,30,2.678071905112638,80.34215715337913,10,1,alien,NN,NOUN,2,NN|NNP,1,NOUN,0,1.3401902258449254,0.15625,2.678071905112638,0.4184487351738497,1,0,1,1,0,1,0,1,0,0,-1
alive,5,1.1956951149636938e-06,19.67371899935642,2.3523769700698883e-05,5,5.2630344058337934,26.315172029168966,5,1,aliv,NN,NOUN,1,NN,1,NOUN,0,2.6333265369523238,0.026041666666666668,5.2630344058337934,0.1370581876519217,0,1,0,0,1,0,1,0,0,1,1
allegation,77,1.8413704770440885e-05,15.72886055354888,0.0002896265946084825,21,3.192645077942396,67.0455466367903,10,1,alleg,NN,NOUN,2,NN|NNP,1,NOUN,0,1.597698798485703,0.109375,3.192645077942396,0.34919555539994956,1,0,0,0,0,1,0,0,0,0,-1
allegiance,590,0.0001410920235657159,12.791075949994578,0.0018047187893674968,76,1.3370349872775706,101.61465903309536,10,1,allegi,NN,NOUN,2,NN|NNP,1,NOUN,0,0.6703803247509605,0.3958333333333333,1.3370349872775709,0.5292430157973718,0,0,0,0,0,0,1,0,0,1,1
allied,7,1.6739731609491714e-06,19.188292172186177,3.212068610069074e-05,5,5.2630344058337934,26.315172029168966,6,1,alli,VB,VERB,2,NNP|VB,2,NOUN|VERB,0,2.633334579104369,0.026041666666666668,5.2630344058337934,0.1370581876519217,0,0,0,0,0,0,1,0,0,1,1
ambassador,38,9.087282873724075e-06,16.747719580800197,0.00015219126532053896,28,2.777607578663552,77.77301220257945,10,1,ambassador,NNP,NOUN,2,NN|NNP,1,NOUN,0,1.389904470331189,0.14583333333333334,2.777607578663552,0.4050677718884347,0,0,0,0,0,0,1,0,0,1,1
ambition,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,8,1,ambit,NN,NOUN,1,NN,1,NOUN,0,3.7950271091298364,0.005208333333333333,7.584962500721156,0.03950501302458935,0,1,0,0,1,0,1,0,0,1,1
ambulance,6,1.4348341379564326e-06,19.410684593522628,2.785111289589125e-05,4,5.584962500721156,22.339850002884624,9,1,ambul,NN,NOUN,2,NN|NNP,1,NOUN,0,2.7944011998401734,0.020833333333333332,5.584962500721156,0.11635338543169074,0,0,0,1,0,0,0,0,0,1,0
amicable,9,2.152251206934649e-06,18.82572209280147,4.0517683095648255e-05,4,5.584962500721156,22.339850002884624,8,1,amic,NN,NOUN,1,NN,1,NOUN,0,2.794437781975159,0.020833333333333332,5.584962500721156,0.11635338543169074,0,0,0,0,1,0,1,0,0,0,1
amnesty,153,3.658827051788904e-05,14.738259251551131,0.0005392474164585336,92,1.0614005446641432,97.64885010910118,7,1,amnesti,NN,NOUN,2,NN|NNP,1,NOUN,0,0.5316488072234894,0.4791666666666667,1.0614005446641432,0.508587760984902,0,0,0,0,1,0,1,0,0,0,1
amusement,4,9.56556091970955e-07,19.995647094243783,1.9126958040900216e-05,2,6.584962500721156,13.169925001442312,9,1,amus,NN,NOUN,1,NN,1,NOUN,0,3.294701833761416,0.010416666666666666,6.584962500721156,0.06859335938251204,0,0,0,0,1,0,1,0,0,0,1
anger,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,1,7.584962500721156,7.584962500721156,5,1,anger,NN,NOUN,1,NN,1,NOUN,0,3.7950468653597924,0.005208333333333333,7.584962500721156,0.03950501302458935,1,0,0,0,0,1,0,0,0,0,-1
animated,4,9.56556091970955e-07,19.995647094243783,1.9126958040900216e-05,4,5.584962500721156,22.339850002884624,8,1,anim,NNP,NOUN,2,NNP|VB,2,NOUN|VERB,0,2.7944054562624427,0.020833333333333332,5.584962500721156,0.11635338543169074,0,0,0,0,1,0,1,0,0,0,1
animosity,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,2,6.584962500721156,13.169925001442312,9,1,animos,NN,NOUN,1,NN,1,NOUN,0,3.2947057082646585,0.010416666666666666,6.584962500721156,0.06859335938251204,1,0,1,1,0,1,0,1,0,0,-1
annulment,85,2.0326816954382796e-05,15.586256158106082,0.00031681897592994397,32,2.584962500721156,82.718800023077,9,1,annul,NN,NOUN,2,NN|NNP,1,NOUN,0,1.2938520155510094,0.16666666666666666,2.584962500721156,0.430827083453526,0,0,0,0,0,1,0,1,0,0,-1
anomaly,4,9.56556091970955e-07,19.995647094243783,1.9126958040900216e-05,3,6.0,18.0,7,1,anomali,RB,ADV,1,RB,1,ADV,0,3.0020969621099822,0.015625,6.0,0.09375,0,0,0,1,0,1,0,0,1,0,-1
antisocial,3,7.174170689782163e-07,20.410684593522628,1.464297351692384e-05,2,6.584962500721156,13.169925001442312,10,1,antisoci,NN,NOUN,2,NN|NNP,1,NOUN,0,3.2947082242803254,0.010416666666666666,6.584962500721156,0.06859335938251204,1,0,1,1,0,1,0,1,0,0,-1
anxiety,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,7,1,anxieti,NN,NOUN,1,NN,1,NOUN,0,3.795035380011557,0.005208333333333333,7.584962500721156,0.03950501302458935,1,1,0,1,0,1,0,1,0,0,-1
anxious,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,7,1,anxiou,NN,NOUN,1,NN,1,NOUN,0,3.7950330113506108,0.005208333333333333,7.584962500721156,0.03950501302458935,0,1,0,1,0,1,0,0,0,0,-1
apostle,3,7.174170689782163e-07,20.410684593522628,1.464297351692384e-05,1,7.584962500721156,7.584962500721156,7,1,apostl,NNP,NOUN,1,NNP,1,NOUN,0,3.795064454751842,0.005208333333333333,7.584962500721156,0.03950501302458935,0,0,0,0,0,0,1,0,0,1,1
applause,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,8,1,applaus,NN,NOUN,1,NN,1,NOUN,0,3.795024795645418,0.005208333333333333,7.584962500721156,0.03950501302458935,0,0,0,0,1,0,1,0,1,1,1
appreciation,15,3.5870853448910818e-06,18.088756498635263,6.488591334355788e-05,11,4.125530882083859,45.380839702922444,12,1,appreci,NN,NOUN,1,NN,1,NOUN,0,2.064253959789855,0.057291666666666664,4.125530882083859,0.23635854011938773,0,0,0,0,1,0,1,0,0,1,1
apprehension,24,5.7393365518257305e-06,17.410684593522628,9.992577847991352e-05,16,3.584962500721156,57.3594000115385,12,1,apprehens,NN,NOUN,2,NN|NNP,1,NOUN,0,1.7938801343078792,0.08333333333333333,3.584962500721156,0.29874687506009634,0,0,0,1,0,1,0,0,0,0,-1
approbation,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,2,6.584962500721156,13.169925001442312,11,1,approb,NN,NOUN,1,NN,1,NOUN,0,3.2947131519310897,0.010416666666666666,6.584962500721156,0.06859335938251204,0,0,0,0,0,0,1,0,0,1,1
approve,529,0.0001265045431631588,12.948523182129756,0.0016380470097928962,127,0.5962778139489903,75.72728237152177,7,1,approv,NN,NOUN,2,NN|NNP,1,NOUN,0,0.2991801204477011,0.6614583333333334,0.5962778139489903,0.3944129290183425,0,0,0,0,1,0,1,0,0,1,1
ardent,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,6,1,ardent,NN,NOUN,1,NN,1,NOUN,0,3.795032064042729,0.005208333333333333,7.584962500721156,0.03950501302458935,0,1,0,0,1,0,1,0,0,0,1
argue,3,7.174170689782163e-07,20.410684593522628,1.464297351692384e-05,3,6.0,18.0,5,1,argu,NN,NOUN,1,NN,1,NOUN,0,3.0020488081110037,0.015625,6.0,0.09375,1,0,0,0,0,1,0,0,0,0,-1
argument,5,1.1956951149636938e-06,19.67371899935642,2.3523769700698883e-05,3,6.0,18.0,8,1,argument,NN,NOUN,1,NN,1,NOUN,0,3.0020468910835585,0.015625,6.0,0.09375,1,0,0,0,0,1,0,0,0,0,-1
arid,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,2,6.584962500721156,13.169925001442312,4,1,arid,NN,NOUN,1,NN,1,NOUN,0,3.2946855354345623,0.010416666666666666,6.584962500721156,0.06859335938251204,0,0,0,0,0,1,0,1,0,0,-1
armament,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,8,1,armament,NN,NOUN,1,NN,1,NOUN,0,3.7950153270899225,0.005208333333333333,7.584962500721156,0.03950501302458935,1,0,0,1,0,0,0,0,0,0,0
armaments,5,1.1956951149636938e-06,19.67371899935642,2.3523769700698883e-05,5,5.2630344058337934,26.315172029168966,9,1,armament,NN,NOUN,1,NN,1,NOUN,0,2.6333516747863057,0.026041666666666668,5.2630344058337934,0.1370581876519217,0,0,0,1,0,1,0,0,0,0,-1
armed,1395,0.0003335989370748706,11.549597687527232,0.003852933512201468,161,0.25404562260653923,40.90134523965282,5,1,arm,NNP,NOUN,2,NNP|VB,2,NOUN|VERB,0,0.12794805313110733,0.8385416666666666,0.25404562260653923,0.2130278397898584,1,0,0,1,0,1,1,0,0,0,0
