doc,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,n,country,year,unit_scheme,sentiment_per_token
Central_African_Republic_2010,204,320,53,285,167,130,93,638,497,1032,Central African Republic,2010,article,0.48158914728682173
Chad_2005,166,311,59,277,164,118,86,651,485,1037,Chad,2005,article,0.46769527483124396
Chile_2012,482,584,283,643,364,343,143,1229,626,2177,Chile,2012,article,0.2875516766192007
China_2004,163,243,198,221,160,125,70,504,290,848,China,2004,article,0.3419811320754717
Colombia_2005,557,1087,313,909,719,422,268,2124,1615,3644,Colombia,2005,article,0.44319429198682764
Comoros_2009,70,147,20,114,109,54,51,354,300,515,Comoros,2009,article,0.5825242718446602
Congo_2001,228,307,84,272,164,137,78,535,386,946,Congo,2001,article,0.4080338266384778
Costa_Rica_2011,195,374,94,272,278,173,93,689,503,1179,Costa Rica,2011,article,0.42663273960983883
Cote_DIvoire_2009,90,222,37,134,111,78,51,531,463,757,Cote DIvoire,2009,article,0.6116248348745046
Croatia_2001,228,316,66,359,220,140,102,574,380,1031,Croatia,2001,article,0.3685741998060136
Cuba_2002,170,320,70,261,278,132,90,617,534,1002,Cuba,2002,article,0.5329341317365269
Cyprus_2013,615,846,188,828,299,441,146,1200,689,2298,Cyprus,2013,article,0.2998259355961706
Czech_Republic_2002,223,255,70,333,186,139,112,607,358,1046,Czech Republic,2002,article,0.3422562141491396
Democratic_Republic_of_the_Congo_2011,333,514,125,515,261,201,134,902,624,1654,Democratic Republic of the Congo,2011,article,0.37726723095526
Denmark_1953,72,140,29,124,85,70,44,191,130,372,Denmark,1953,numbered_provision,0.34946236559139787
Djibouti_2010,70,169,23,119,100,52,35,406,332,587,Djibouti,2010,article,0.565587734241908
Dominica_1984,651,741,233,916,270,434,127,1371,746,2595,Dominica,1984,numbered_provision,0.28747591522157995
Dominican_Republic_2010,349,780,216,514,533,292,182,1322,1132,2228,Dominican Republic,2010,article,0.5080789946140036
East_Timor_2002,311,451,124,450,301,222,156,702,420,1371,East Timor,2002,article,0.3063457330415755
Ecuador_2008,756,1615,309,1058,921,522,350,2509,2268,4502,Ecuador,2008,article,0.5037760995113283
Egypt_2014,294,562,107,420,366,168,153,945,773,1606,Egypt,2014,article,0.4813200498132005
El_Salvador_2003,371,624,132,495,464,282,153,1044,861,1927,El Salvador,2003,article,0.44680851063829785
Equatorial_Guinea_1995,48,125,15,79,97,33,37,332,288,446,Equatorial Guinea,1995,article,0.6457399103139013
Eritrea_1997,100,162,36,138,168,85,76,486,379,677,Eritrea,1997,article,0.5598227474150664
Estonia_2003,228,184,95,424,137,121,86,385,202,862,Estonia,2003,article,0.23433874709976799
Ethiopia_1994,206,359,64,323,272,181,114,532,304,995,Ethiopia,1994,article,0.3055276381909548
Fiji_2013,576,938,221,875,421,384,139,1746,1209,2930,Fiji,2013,numbered_provision,0.41262798634812287
Finland_2011,177,214,56,336,136,99,65,431,228,885,Finland,2011,body_block,0.2576271186440678
France_2008,128,295,50,259,141,110,81,580,400,977,France,2008,article,0.4094165813715456
Gabon_1997,197,363,41,323,162,138,106,605,454,1049,Gabon,1997,article,0.432793136320305
Gambia_2004,840,1146,269,1206,411,447,180,2004,1503,3698,Gambia,2004,numbered_provision,0.4064359113034072
Georgia_2004,215,228,63,482,177,190,110,618,364,1226,Georgia,2004,article,0.2969004893964111
German_Federal_Republic_2012,389,489,147,656,332,349,122,880,362,1743,German Federal Republic,2012,article,0.2076878944348824
Ghana_1996,952,1599,341,1424,505,497,208,2434,1659,4344,Ghana,1996,numbered_provision,0.3819060773480663
Greece_2008,456,601,157,704,376,308,152,931,529,1975,Greece,2008,article,0.26784810126582276
Grenada_1992,564,681,206,848,255,441,138,1039,464,2163,Grenada,1992,numbered_provision,0.21451687471104947
Guatemala_1993,368,758,311,496,551,321,165,1326,946,2273,Guatemala,1993,article,0.41619005719313684
Guinea_2010,230,370,55,318,158,134,89,676,578,1130,Guinea,2010,article,0.511504424778761
Guinea_Bissau_1991,67,192,36,132,166,61,44,422,376,653,Guinea Bissau,1991,article,0.5758039816232772
Guyana_1995,661,888,345,1060,368,488,164,1983,1220,3351,Guyana,1995,article,0.3640704267382871
Haiti_2012,292,483,84,465,298,219,124,938,700,1591,Haiti,2012,article,0.43997485857950974
Honduras_2012,397,611,309,549,474,308,161,1181,799,2061,Honduras,2012,article,0.3876758854924794
Hungary_2011,200,280,78,405,240,197,140,714,418,1270,Hungary,2011,article,0.3291338582677165
Iceland_1999,70,92,32,69,66,59,28,178,110,299,Iceland,1999,article,0.36789297658862874
India_2012,1064,2046,276,1772,944,834,292,3154,2039,5651,India,2012,numbered_provision,0.36082109361175013
Indonesia_2002,60,121,25,109,100,28,33,307,258,444,Indonesia,2002,article,0.581081081081081
Iran_1989,228,432,97,404,264,237,145,907,578,1415,Iran,1989,article,0.40848056537102473
Iraq_2005,158,400,67,217,210,108,65,661,518,975,Iraq,2005,article,0.5312820512820513
Ireland_2012,249,338,45,340,223,126,98,600,422,1044,Ireland,2012,article,0.4042145593869732
Israel_2013,248,223,77,534,200,229,129,595,121,1249,Israel,2013,numbered_provision,0.09687750200160128
Italy_2012,140,245,46,219,190,132,70,492,367,864,Italy,2012,article,0.42476851851851855
Jamaica_1994,621,860,197,826,298,452,154,1328,676,2518,Jamaica,1994,numbered_provision,0.26846703733121524
Japan_1946,81,117,36,97,88,67,41,182,122,361,Japan,1946,article,0.3379501385041551
Jordan_2011,118,194,45,179,135,112,58,332,200,592,Jordan,2011,article,0.33783783783783783
Kazakhstan_1998,186,247,76,326,192,141,105,540,331,1001,Kazakhstan,1998,article,0.3306693306693307
Kenya_2010,543,1016,206,844,648,385,198,2213,1765,3602,Kenya,2010,numbered_provision,0.49000555247084954
Kiribati_1995,478,639,164,729,268,310,147,799,371,1707,Kiribati,1995,numbered_provision,0.2173403632103105
Kosovo_2008,307,505,124,473,324,243,177,1176,865,1804,Kosovo,2008,article,0.479490022172949
Kuwait_1992,92,172,31,150,189,74,62,451,399,708,Kuwait,1992,article,0.5635593220338984
Kyrgyz_Republic_2010,266,321,112,467,257,172,133,604,284,1195,Kyrgyz Republic,2010,article,0.23765690376569037
Laos_2003,61,133,17,100,92,40,34,272,256,443,Laos,2003,article,0.5778781038374717
Latvia_2007,58,63,23,75,68,46,31,184,120,282,Latvia,2007,article,0.425531914893617
Lebanon_2004,43,144,14,109,104,72,51,266,180,443,Lebanon,2004,article,0.40632054176072235
Lesotho_1998,619,947,231,1061,345,472,148,1592,885,2913,Lesotho,1998,numbered_provision,0.3038105046343975
Liberia_1986,244,261,102,330,147,152,100,458,183,919,Liberia,1986,article,0.19912948857453755
Libya_2011,30,97,35,61,59,27,26,214,165,306,Libya,2011,article,0.5392156862745098
Liechtenstein_2003,139,260,25,258,203,146,143,311,153,683,Liechtenstein,2003,article,0.2240117130307467
Lithuania_2006,258,223,71,374,217,134,99,495,350,1011,Lithuania,2006,article,0.34619188921859545
Luxembourg_2009,105,134,27,144,100,78,47,222,112,438,Luxembourg,2009,article,0.2557077625570776
Macedonia_2011,245,378,83,304,240,188,127,683,491,1133,Macedonia,2011,article,0.4333627537511033
Madagascar_2010,228,393,56,334,192,141,83,671,545,1188,Madagascar,2010,article,0.45875420875420875
Malawi_1999,462,614,167,788,340,350,126,1493,897,2396,Malawi,1999,numbered_provision,0.3743739565943239
Malaysia_1996,757,1169,222,1231,616,539,162,1861,1111,3512,Malaysia,1996,numbered_provision,0.3163439635535307
Maldives_2008,344,485,155,456,368,211,162,1234,905,1885,Maldives,2008,numbered_provision,0.48010610079575594
Mali_1992,125,252,29,202,123,75,70,487,371,756,Mali,1992,article,0.49074074074074076
Malta_2011,480,543,140,696,265,400,113,1032,527,2052,Malta,2011,numbered_provision,0.25682261208577
Marshall_Islands_1995,291,508,79,406,220,227,119,873,660,1501,Marshall Islands,1995,article,0.4397068620919387
Mauritania_2012,90,171,31,143,110,75,63,434,325,641,Mauritania,2012,article,0.5070202808112324
Mauritius_2011,644,821,274,944,301,447,130,1664,991,2937,Mauritius,2011,numbered_provision,0.33741913517194416
Mexico_2007,638,1145,359,928,768,534,286,1995,1270,3593,Mexico,2007,article,0.3534650709713332
Micronesia_1990,99,128,91,140,88,62,44,285,118,483,Micronesia,1990,article,0.2443064182194617
Moldova_2006,173,289,59,261,224,123,100,548,401,970,Moldova,2006,article,0.4134020618556701
Monaco_2002,57,139,19,89,41,54,25,176,115,315,Monaco,2002,article,0.36507936507936506
Mongolia_2001,151,197,46,222,134,86,64,412,294,723,Mongolia,2001,article,0.4066390041493776
Montenegro_2007,280,339,121,403,185,180,95,520,277,1045,Montenegro,2007,article,0.26507177033492824
Morocco_2011,182,416,31,300,223,129,104,627,496,1120,Morocco,2011,article,0.44285714285714284
Mozambique_2007,343,612,122,519,371,260,133,1274,971,2109,Mozambique,2007,article,0.4604077761972499
Myanmar_2008,363,600,147,759,307,467,224,1417,827,2340,Myanmar,2008,numbered_provision,0.35341880341880344
Namibia_2010,310,544,108,482,312,193,150,1234,924,1881,Namibia,2010,article,0.49122807017543857
Nauru_1968,211,328,50,317,150,150,83,508,383,970,Nauru,1968,numbered_provision,0.39484536082474225
Nepal_2010,579,816,160,874,514,407,204,1657,1112,2809,Nepal,2010,numbered_provision,0.39587041651833393
Netherlands_2008,96,167,27,120,76,98,55,292,189,531,Netherlands,2008,article,0.3559322033898305
Nicaragua_2005,262,393,86,355,335,243,134,967,778,1556,Nicaragua,2005,article,0.5
Niger_2010,273,426,87,384,244,174,114,804,633,1336,Niger,2010,article,0.47380239520958084
Nigeria_1999,1040,1533,366,1694,651,518,218,2648,1689,4778,Nigeria,1999,numbered_provision,0.35349518627040605
Norway_2004,113,184,27,155,80,61,42,210,124,404,Norway,2004,article,0.3069306930693069
Oman_2011,99,151,38,121,84,77,36,301,215,519,Oman,2011,article,0.4142581888246628
Pakistan_2012,1011,1308,217,1432,591,556,204,2318,1447,4163,Pakistan,2012,numbered_provision,0.347585875570502
Palau_1992,149,166,45,196,91,94,48,323,147,611,Palau,1992,article,0.24058919803600654
Panama_2004,288,641,135,471,446,264,133,1217,1081,2043,Panama,2004,article,0.5291238374938816
Papua_New_Guinea_1991,772,1229,268,1377,693,683,389,1970,998,3740,Papua New Guinea,1991,numbered_provision,0.26684491978609626
Paraguay_2011,313,567,215,466,459,320,129,1155,857,1985,Paraguay,2011,article,0.4317380352644836
Peoples_Republic_of_Korea_1998,137,274,51,168,220,83,138,500,479,744,Peoples Republic of Korea,1998,article,0.6438172043010753
Peru_2009,302,420,210,401,269,215,117,994,685,1590,Peru,2009,article,0.4308176100628931
Philippines_1987,267,437,207,399,305,253,118,934,535,1624,Philippines,1987,article,0.3294334975369458
Poland_1997,238,566,139,412,278,163,130,958,642,1501,Poland,1997,article,0.42771485676215854
Portugal_2005,479,783,167,749,530,358,183,1585,1092,2678,Portugal,2005,article,0.4077669902912621
Qatar_2003,76,258,35,107,132,59,67,361,308,539,Qatar,2003,article,0.5714285714285714
Republic_of_Korea_1987,164,268,55,220,158,137,68,486,376,828,Republic of Korea,1987,article,0.45410628019323673
Romania_2003,229,415,80,392,264,146,132,641,513,1217,Romania,2003,article,0.42152834839769926
Russia_2008,192,208,56,362,142,100,53,493,289,985,Russia,2008,article,0.2934010152284264
Rwanda_2010,274,477,119,408,292,193,163,876,642,1503,Rwanda,2010,article,0.42714570858283435
Samoa_2010,277,475,68,413,191,207,125,753,534,1313,Samoa,2010,article,0.4067022086824067
Sao_Tome_and_Principe_1990,104,195,50,168,166,81,79,398,333,646,Sao Tome and Principe,1990,article,0.5154798761609907
Saudi_Arabia_2005,40,173,55,76,87,45,31,305,266,428,Saudi Arabia,2005,article,0.6214953271028038
Senegal_2009,172,275,58,231,149,142,92,588,444,936,Senegal,2009,article,0.47435897435897434
Serbia_2006,436,568,183,641,327,343,195,1046,669,2016,Serbia,2006,article,0.3318452380952381
Seychelles_2011,575,829,162,791,393,373,166,1847,1318,3024,Seychelles,2011,numbered_provision,0.43584656084656087
Sierra_Leone_2008,805,1159,233,1144,399,396,145,1756,1266,3363,Sierra Leone,2008,numbered_provision,0.37644959857270294
Singapore_2010,397,936,172,880,381,393,151,1845,1196,3058,Singapore,2010,numbered_provision,0.39110529758011775
Slovakia_2001,319,584,97,420,291,239,152,925,751,1621,Slovakia,2001,article,0.46329426280074026
Slovenia_2006,237,339,72,299,266,151,116,796,610,1236,Slovenia,2006,article,0.4935275080906149
Socialist_Republic_of_Vietnam_2001,197,288,84,287,223,130,82,593,511,993,Socialist Republic of Vietnam,2001,article,0.5146022155085599
Solomon_Islands_2009,573,784,219,855,314,372,131,1124,631,2289,Solomon Islands,2009,numbered_provision,0.27566622979467015
Somalia_2012,291,411,99,470,236,209,115,766,474,1404,Somalia,2012,article,0.33760683760683763
South_Africa_2012,561,1010,120,715,503,402,174,2210,1780,3358,South Africa,2012,numbered_provision,0.5300774270399047
South_Sudan_2011,286,597,140,645,466,235,173,1479,1037,2387,South Sudan,2011,numbered_provision,0.4344365312107248
Spain_2011,198,369,125,380,258,182,99,745,476,1329,Spain,2011,numbered_provision,0.3581640331075997
Sri_Lanka_2010,975,1557,271,1342,617,520,251,2219,1715,4094,Sri Lanka,2010,numbered_provision,0.4189057156814851
St_Kitts_and_Nevis_1983,711,997,246,1037,516,588,379,1875,1131,3332,St Kitts and Nevis,1983,numbered_provision,0.3394357743097239
St_Lucia_1978,662,911,253,969,403,514,287,1332,594,2651,St Lucia,1978,numbered_provision,0.22406639004149378
St_Vincent_and_the_Grenadines_1979,544,819,203,843,378,415,265,1117,591,2245,St Vincent and the Grenadines,1979,numbered_provision,0.26325167037861913
Sudan_2005,310,610,134,606,467,235,150,1448,1043,2383,Sudan,2005,numbered_provision,0.4376835921107847
Surinam_1992,143,294,50,282,221,132,85,714,544,1115,Surinam,1992,article,0.48789237668161434
Swaziland_2005,745,1088,259,1135,517,537,201,1767,1046,3339,Swaziland,2005,numbered_provision,0.31326744534291706
Sweden_2012,615,997,259,1343,667,733,252,1785,828,3726,Sweden,2012,article,0.2222222222222222
Switzerland_2002,195,396,82,307,356,288,178,496,219,1151,Switzerland,2002,article,0.1902693310165074
Syria_2012,108,164,27,130,117,59,41,504,434,698,Syria,2012,article,0.6217765042979942
Taiwan_2005,81,222,32,209,156,119,109,525,366,803,Taiwan,2005,article,0.45579078455790784
Tajikistan_2003,144,140,47,203,109,92,64,318,198,603,Tajikistan,2003,article,0.3283582089552239
Tanzania_1995,457,541,131,811,348,303,118,1629,1223,2730,Tanzania,1995,numbered_provision,0.447985347985348
Thailand_2007,720,993,306,1104,434,536,308,1847,1012,3407,Thailand,2007,numbered_provision,0.2970355151159378
Togo_2007,188,316,43,281,168,100,82,599,488,990,Togo,2007,article,0.49292929292929294
Tonga_1988,161,226,62,244,140,107,85,532,278,833,Tonga,1988,numbered_provision,0.33373349339735897
Trinidad_and_Tobago_2007,458,606,170,705,248,395,128,1287,797,2244,Trinidad and Tobago,2007,numbered_provision,0.3551693404634581
Tunisia_2014,192,352,52,352,231,111,94,885,637,1344,Tunisia,2014,article,0.4739583333333333
Turkey_2002,473,845,112,600,360,329,194,1488,1268,2488,Turkey,2002,article,0.5096463022508039
Turkmenistan_2008,70,116,26,106,94,62,39,278,229,446,Turkmenistan,2008,article,0.5134529147982063
Tuvalu_1986,430,685,182,753,384,360,188,976,567,2006,Tuvalu,1986,numbered_provision,0.2826520438683948
Uganda_2005,660,1083,262,1229,486,423,178,1923,1133,3523,Uganda,2005,numbered_provision,0.32160090831677546
Ukraine_2004,302,319,75,414,241,183,125,759,631,1367,Ukraine,2004,article,0.4615947329919532
United_Arab_Emirates_2004,123,384,47,179,128,99,51,617,535,879,United Arab Emirates,2004,article,0.608646188850967
United_States_of_America_1992,118,109,104,118,83,102,56,423,213,625,United States of America,1992,article,0.3408
Uruguay_2004,403,683,211,536,515,420,228,1216,658,2055,Uruguay,2004,article,0.32019464720194646
Uzbekistan_1992,108,150,20,147,81,50,44,296,261,500,Uzbekistan,1992,article,0.522
Vanuatu_1983,101,272,30,175,104,82,67,377,291,669,Vanuatu,1983,numbered_provision,0.4349775784753363
Venezuela_2009,347,944,189,503,710,359,235,1815,1703,2924,Venezuela,2009,article,0.582421340629275
Yemen_2001,119,218,48,202,147,103,74,496,352,786,Yemen,2001,article,0.44783715012722647
Zambia_2009,538,579,215,819,235,398,88,1349,712,2388,Zambia,2009,article,0.2981574539363484
Zimbabwe_2013,744,1200,290,1176,646,590,248,2631,2014,4280,Zimbabwe,2013,numbered_provision,0.4705607476635514
